Freq.,V(vout)/V(vin)
1.74984668862463e+02,-2.07704312138792e+00,-1.87468136346139e+00
1.75388050184174e+02,-2.07861392690363e+00,-1.87793851401608e+00
1.75792361395867e+02,-2.08019078421005e+00,-1.88120292498204e+00
1.76197604641161e+02,-2.08177371971010e+00,-1.88447459725224e+00
1.76603782068614e+02,-2.08336275987692e+00,-1.88775353165340e+00
1.77010895831740e+02,-2.08495793125399e+00,-1.89103972894547e+00
1.77418948089014e+02,-2.08655926045513e+00,-1.89433318982114e+00
1.77827941003890e+02,-2.08816677416457e+00,-1.89763391490522e+00
1.78237876744807e+02,-2.08978049913710e+00,-1.90094190475425e+00
1.78648757485203e+02,-2.09140046219800e+00,-1.90425715985581e+00
1.79060585403527e+02,-2.09302669024321e+00,-1.90757968062811e+00
1.79473362683250e+02,-2.09465921023932e+00,-1.91090946741940e+00
1.79887091512876e+02,-2.09629804922363e+00,-1.91424652050741e+00
1.80301774085954e+02,-2.09794323430425e+00,-1.91759084009885e+00
1.80717412601090e+02,-2.09959479266005e+00,-1.92094242632881e+00
1.81134009261958e+02,-2.10125275154080e+00,-1.92430127926025e+00
1.81551566277311e+02,-2.10291713826717e+00,-1.92766739888345e+00
1.81970085860996e+02,-2.10458798023083e+00,-1.93104078511545e+00
1.82389570231961e+02,-2.10626530489433e+00,-1.93442143779944e+00
1.82810021614272e+02,-2.10794913979134e+00,-1.93780935670431e+00
1.83231442237119e+02,-2.10963951252658e+00,-1.94120454152398e+00
1.83653834334832e+02,-2.11133645077579e+00,-1.94460699187688e+00
1.84077200146893e+02,-2.11303998228591e+00,-1.94801670730538e+00
1.84501541917945e+02,-2.11475013487494e+00,-1.95143368727523e+00
1.84926861897805e+02,-2.11646693643216e+00,-1.95485793117497e+00
1.85353162341478e+02,-2.11819041491795e+00,-1.95828943831535e+00
1.85780445509167e+02,-2.11992059836390e+00,-1.96172820792878e+00
1.86208713666284e+02,-2.12165751487288e+00,-1.96517423916869e+00
1.86637969083464e+02,-2.12340119261893e+00,-1.96862753110904e+00
