Freq.,V(vout)/V(vin)
1.13501081567231e+02,-1.85851307320340e+00,-1.38428130835424e+00
1.13762728582343e+02,-1.85934345354899e+00,-1.38623371888132e+00
1.14024978756116e+02,-1.86017601660517e+00,-1.38819248081005e+00
1.14287833478977e+02,-1.86101077822026e+00,-1.39015760090050e+00
1.14551294144553e+02,-1.86184775428116e+00,-1.39212908590304e+00
1.14815362149688e+02,-1.86268696071366e+00,-1.39410694255819e+00
1.15080038894443e+02,-1.86352841348260e+00,-1.39609117759655e+00
1.15345325782109e+02,-1.86437212859204e+00,-1.39808179773864e+00
1.15611224219209e+02,-1.86521812208548e+00,-1.40007880969479e+00
1.15877735615512e+02,-1.86606641004608e+00,-1.40208222016502e+00
1.16144861384034e+02,-1.86691700859685e+00,-1.40409203583891e+00
1.16412602941049e+02,-1.86776993390075e+00,-1.40610826339547e+00
1.16680961706096e+02,-1.86862520216105e+00,-1.40813090950302e+00
1.16949939101987e+02,-1.86948282962142e+00,-1.41015998081906e+00
1.17219536554813e+02,-1.87034283256617e+00,-1.41219548399012e+00
1.17489755493952e+02,-1.87120522732041e+00,-1.41423742565164e+00
1.17760597352080e+02,-1.87207003025025e+00,-1.41628581242783e+00
1.18032063565172e+02,-1.87293725776307e+00,-1.41834065093155e+00
1.18304155572516e+02,-1.87380692630767e+00,-1.42040194776417e+00
1.18576874816716e+02,-1.87467905237442e+00,-1.42246970951538e+00
1.18850222743701e+02,-1.87555365249553e+00,-1.42454394276310e+00
1.19124200802737e+02,-1.87643074324521e+00,-1.42662465407332e+00
1.19398810446427e+02,-1.87731034123991e+00,-1.42871184999997e+00
1.19674053130724e+02,-1.87819246313847e+00,-1.43080553708475e+00
1.19949930314937e+02,-1.87907712564233e+00,-1.43290572185698e+00
1.20226443461741e+02,-1.87996434549582e+00,-1.43501241083349e+00
1.20503594037179e+02,-1.88085413948612e+00,-1.43712561051838e+00
1.20781383510677e+02,-1.88174652444379e+00,-1.43924532740298e+00
1.21059813355048e+02,-1.88264151724272e+00,-1.44137156796563e+00
1.21338885046497e+02,-1.88353913480039e+00,-1.44350433867150e+00
1.21618600064636e+02,-1.88443939407808e+00,-1.44564364597247e+00
1.21898959892486e+02,-1.88534231208117e+00,-1.44778949630698e+00
1.22179966016487e+02,-1.88624790585916e+00,-1.44994189609985e+00
1.22461619926504e+02,-1.88715619250596e+00,-1.45210085176208e+00
1.22743923115840e+02,-1.88806718916012e+00,-1.45426636969075e+00
1.23026877081238e+02,-1.88898091300500e+00,-1.45643845626880e+00
1.23310483322890e+02,-1.88989738126893e+00,-1.45861711786489e+00
1.23594743344450e+02,-1.89081661122548e+00,-1.46080236083322e+00
